what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344522649008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1344522653220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1344522654261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344522657193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522660270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522670653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522675367
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1344522678481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522681958
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344522681991
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1344522686148
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344522759108
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1344522779432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344522805553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522810389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522821524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522824686
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1344522827723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522831415
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1344522831530
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1344522833349
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1344522899330
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344522909765
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344522909990
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344522910118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344522936228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522940817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522951899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522953905
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1344522957175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344522961124
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344522961159
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1344522962771
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344523011465
